movie,year,actor
The Blues Brothers,1980,Toni Fleming
The Blues Brothers,1980,Judith Belushi-Pisano
The Blues Brothers,1980,Rosie Shuster
The Blues Brothers,1980,Paul Reubens
The Blues Brothers,1980,Ben Piazza
The Blues Brothers,1980,Gwen Banta
The Blues Brothers,1980,Lari Taylor
The Blues Brothers,1980,Cindy Fisher
The Blues Brothers,1980,Elizabeth Hoy
The Blues Brothers,1980,Tony M. Conde
The Blues Brothers,1980,Eugene J. Anthony
The Blues Brothers,1980,Dean Hill
The Blues Brothers,1980,Gary Houston
The Blues Brothers,1980,Jack Orend
The Blues Brothers,1980,Gene Schuldt
The Blues Brothers,1980,Charles Mountain
The Blues Brothers,1980,John Lee Hooker
The Blues Brothers,1980,Walter Horton
The Blues Brothers,1980,Pinetop Perkins
The Blues Brothers,1980,Willie 'Big Eyes' Smith
The Blues Brothers,1980,Luther 'Guitar Jr.' Johnson
The Blues Brothers,1980,Calvin 'Fuzz' Jones
The Blues Brothers,1980,Carolyn Franklin
The Blues Brothers,1980,Brenda Bryant Corbett
The Blues Brothers,1980,Margaret Branch
The Blues Brothers,1980,De'voreaux White
The Blues Brothers,1980,Sheilah Wells
The Blues Brothers,1980,Lou Perryman
The Blues Brothers,1980,Stan Mazin
The Blues Brothers,1980,Russ Bruzek
The Blues Brothers,1980,Blair Burrows
The Blues Brothers,1980,Jack Callahan
The Blues Brothers,1980,Gene Janson
The Blues Brothers,1980,Gil Pearson
The Blues Brothers,1980,Aaron Jais
The Blues Brothers,1980,Lemetrius Daniels
The Blues Brothers,1980,Jeff Cahill
The Blues Brothers,1980,Curt Clendenin
The Blues Brothers,1980,Steve Cruz
The Blues Brothers,1980,Leonard Daniels
The Blues Brothers,1980,Sean Hayden
The Blues Brothers,1980,Babatunde Myers
The Blues Brothers,1980,Gary Patzik
The Blues Brothers,1980,J. Bernard Walton
The Blues Brothers,1980,Butch Williams
The Blues Brothers,1980,Wally Engelhardt
The Blues Brothers,1980,Michael Klenfner
The Blues Brothers,1980,Ralph Foody
The Blues Brothers,1980,Leonard R. Garner Jr.
The Blues Brothers,1980,Andrew Goodman
The Blues Brothers,1980,Eddy Donno
The Blues Brothers,1980,Steven Spielberg
The Blues Brothers,1980,Joe Walsh
The Blues Brothers,1980,Shirley Levine
Memento,2000,Guy Pearce
Memento,2000,Carrie-Anne Moss
Memento,2000,Joe Pantoliano
Memento,2000,Mark Boone Junior
Memento,2000,Russ Fega
Memento,2000,Jorja Fox
Memento,2000,Stephen Tobolowsky
Memento,2000,Harriet Sansom Harris
Memento,2000,Thomas Lennon
Memento,2000,Callum Keith Rennie
Memento,2000,Kimberly Campbell
Memento,2000,Marianne Muellerleile
Memento,2000,Larry Holden
Up in the Air,2009,George Clooney
Up in the Air,2009,Vera Farmiga
Up in the Air,2009,Anna Kendrick
Up in the Air,2009,Jason Bateman
Up in the Air,2009,Amy Morton
Up in the Air,2009,Melanie Lynskey
Up in the Air,2009,J.K. Simmons
Up in the Air,2009,Sam Elliott
Up in the Air,2009,Danny McBride
Up in the Air,2009,Zach Galifianakis
Up in the Air,2009,Chris Lowell
Up in the Air,2009,Steve Eastin
Up in the Air,2009,Marvin Young
Up in the Air,2009,Lucas MacFadden
Up in the Air,2009,Adrienne Lamping
Up in the Air,2009,Meagan Flynn
Up in the Air,2009,Dustin Miles
Up in the Air,2009,Tamara Tungate
Up in the Air,2009,Laura Ackermann
Up in the Air,2009,Meghan Maguire
Up in the Air,2009,Courtney Kling
Up in the Air,2009,Matt O'Toole
Up in the Air,2009,Alan David
Up in the Air,2009,Erin McGrane
Up in the Air,2009,Cari Mohr
Up in the Air,2009,Jerry Vogel
Up in the Air,2009,Adhir Kalyan
Up in the Air,2009,Jeff Witzke
Up in the Air,2009,Dave Engfer
Up in the Air,2009,Paul Goetz
Up in the Air,2009,Michele Lee
Up in the Air,2009,Jennifer Flaks
Up in the Air,2009,Bill Yancey
Up in the Air,2009,John Mebruer
Up in the Air,2009,Ellen Gutierrez
Up in the Air,2009,Adam Rose
Up in the Air,2009,Kevin Pila
Up in the Air,2009,Kelly Bertha
Up in the Air,2009,Cozy Bailey
Up in the Air,2009,Lamorris Conner
Up in the Air,2009,Deborah L. Norman
Up in the Air,2009,Casey Bartels
Up in the Air,2009,Billy Phelan
Up in the Air,2009,Art Hill
Up in the Air,2009,Patricia Allison
Up in the Air,2009,David F. Rybicki
Up in the Air,2009,Andy Glantzman
Up in the Air,2009,K. Darnell Lewis
Up in the Air,2009,Jo Michelle Favaro
Up in the Air,2009,Stephanie Janiunas
Up in the Air,2009,Thomas M. Martilotti
Up in the Air,2009,Erin Welsh-Krengel
Up in the Air,2009,Marlene Gorkiewicz
Up in the Air,2009,Mark Sommers
Up in the Air,2009,Wilbur Weidlich
Up in the Air,2009,Grace Smith
Up in the Air,2009,Scott Lapinski
Up in the Air,2009,George Batten
Four weedings and a funeral,1994,Hugh Grant
Four weedings and a funeral,1994,James Fleet
Four weedings and a funeral,1994,Simon Callow
Four weedings and a funeral,1994,John Hannah
Four weedings and a funeral,1994,Kristin Scott Thomas
Four weedings and a funeral,1994,David Bower
Four weedings and a funeral,1994,Charlotte Coleman
Four weedings and a funeral,1994,Andie MacDowell
Four weedings and a funeral,1994,Timothy Walker
Four weedings and a funeral,1994,Sara Crowe
Four weedings and a funeral,1994,Ronald Herdman
Four weedings and a funeral,1994,Elspet Gray
Four weedings and a funeral,1994,Philip Voss
Four weedings and a funeral,1994,Rupert Vansittart
Four weedings and a funeral,1994,Nicola Walker
Four weedings and a funeral,1994,Paul Stacey
Four weedings and a funeral,1994,Simon Kunz
Four weedings and a funeral,1994,Rowan Atkinson
Four weedings and a funeral,1994,Robin McCaffrey
Four weedings and a funeral,1994,Michael Mears
Four weedings and a funeral,1994,Kenneth Griffith
Four weedings and a funeral,1994,David Haig
Four weedings and a funeral,1994,Sophie Thompson
Four weedings and a funeral,1994,Corin Redgrave
Four weedings and a funeral,1994,Donald Weedon
Four weedings and a funeral,1994,Nigel Hastings
Four weedings and a funeral,1994,Emily Morgan
Four weedings and a funeral,1994,Amanda Mealing
Four weedings and a funeral,1994,Melissa Knatchbull
Four weedings and a funeral,1994,Polly Kemp
Four weedings and a funeral,1994,Anna Chancellor
Four weedings and a funeral,1994,Hannah Taylor Gordon
Four weedings and a funeral,1994,Bernice Stegers
Four weedings and a funeral,1994,Robert Lang
Four weedings and a funeral,1994,Jeremy Kemp
Four weedings and a funeral,1994,Rosalie Crutchley
Four weedings and a funeral,1994,Ken Drury
Four weedings and a funeral,1994,Struan Rodger
Four weedings and a funeral,1994,Lucy Hornak
Four weedings and a funeral,1994,Randall Paul
Four weedings and a funeral,1994,Pat Starr
Four weedings and a funeral,1994,Tim Thomas
Four weedings and a funeral,1994,Neville Phillips
Four weedings and a funeral,1994,Susanna Hamnett
Four weedings and a funeral,1994,John Abbott
Four weedings and a funeral,1994,Richard Butler
Four weedings and a funeral,1994,David Wright
Four weedings and a funeral,1994,Ray Uren
Four weedings and a funeral,1994,Gordon Blackwell
Four weedings and a funeral,1994,Ron Griffiths
Four weedings and a funeral,1994,Richard Allen
Four weedings and a funeral,1994,Mark James
Four weedings and a funeral,1994,Jason Bruer
Four weedings and a funeral,1994,Simon Wallace
Four weedings and a funeral,1994,Jason McDermid
Four weedings and a funeral,1994,Bryn Burrows
Four weedings and a funeral,1994,Paulette Ivory
Alien: Resurrection,1997,Sigourney Weaver
Alien: Resurrection,1997,Winona Ryder
Alien: Resurrection,1997,Dominique Pinon
Alien: Resurrection,1997,Ron Perlman
Alien: Resurrection,1997,Gary Dourdan
Alien: Resurrection,1997,Michael Wincott
Alien: Resurrection,1997,Kim Flowers
Alien: Resurrection,1997,Dan Hedaya
Alien: Resurrection,1997,J.E. Freeman
Alien: Resurrection,1997,Brad Dourif
Alien: Resurrection,1997,Raymond Cruz
Alien: Resurrection,1997,Leland Orser
Alien: Resurrection,1997,Carolyn Campbell
Alien: Resurrection,1997,Marlene Bush
Alien: Resurrection,1997,David St. James
Alien: Resurrection,1997,Rodney Mitchell
Alien: Resurrection,1997,Robert Faltisco
Alien: Resurrection,1997,David Rowe
Alien: Resurrection,1997,Garrett House
Alien: Resurrection,1997,Rod Damer
Alien: Resurrection,1997,Mark Mansfield
Alien: Resurrection,1997,Daniel Raymont
Alien: Resurrection,1997,Cris D'Annunzio
Alien: Resurrection,1997,Steven Gilborn
Alien: Resurrection,1997,Robert Bastens
Alien: Resurrection,1997,Rico Bueno
Alien: Resurrection,1997,Alex Lorre
Alien: Resurrection,1997,Ronald Ramessar
Alien: Resurrection,1997,Nicole Fellows
Alien: Resurrection,1997,Tom Woodruff Jr.
Alien: Resurrection,1997,Joan La Barbara
Alien: Resurrection,1997,Archie Hahn
Pulp Fiction,1994,Tim Roth
Pulp Fiction,1994,Amanda Plummer
Pulp Fiction,1994,Laura Lovelace
Pulp Fiction,1994,John Travolta
Pulp Fiction,1994,Samuel L. Jackson
Pulp Fiction,1994,Phil LaMarr
Pulp Fiction,1994,Frank Whaley
Pulp Fiction,1994,Burr Steers
Pulp Fiction,1994,Bruce Willis
Pulp Fiction,1994,Ving Rhames
Pulp Fiction,1994,Paul Calderon
Pulp Fiction,1994,Bronagh Gallagher
Pulp Fiction,1994,Rosanna Arquette
Pulp Fiction,1994,Eric Stoltz
Pulp Fiction,1994,Uma Thurman
Pulp Fiction,1994,Jerome Patrick Hoban
Pulp Fiction,1994,Michael Gilden
Pulp Fiction,1994,Gary Shorelle
Pulp Fiction,1994,Susan Griffiths
Pulp Fiction,1994,Eric Clark
Pulp Fiction,1994,Joseph Pilato
Pulp Fiction,1994,Brad Blumenthal
Pulp Fiction,1994,Steve Buscemi
Pulp Fiction,1994,Lorelei Leslie
Pulp Fiction,1994,Emil Sitka
Pulp Fiction,1994,Brenda Hillhouse
Pulp Fiction,1994,Christopher Walken
Pulp Fiction,1994,Chandler Lindauer
Pulp Fiction,1994,Sy Sher
Pulp Fiction,1994,Robert Ruth
Pulp Fiction,1994,Rich Turner
Pulp Fiction,1994,Angela Jones
Pulp Fiction,1994,Don Blakely
Pulp Fiction,1994,Carl Allen
Pulp Fiction,1994,Maria de Medeiros
Pulp Fiction,1994,Karen Maruyama
Pulp Fiction,1994,Kathy Griffin
Pulp Fiction,1994,Venessia Valentino
Pulp Fiction,1994,Linda Kaye
Pulp Fiction,1994,Duane Whitaker
Pulp Fiction,1994,Peter Greene
Pulp Fiction,1994,Stephen Hibbert
Pulp Fiction,1994,Alexis Arquette
Pulp Fiction,1994,Quentin Tarantino
Pulp Fiction,1994,Harvey Keitel
Pulp Fiction,1994,Julia Sweeney
Pulp Fiction,1994,Lawrence Bender
Fight Club,1999,Edward Norton
Fight Club,1999,Brad Pitt
Fight Club,1999,Helena Bonham Carter
Fight Club,1999,Meat Loaf
Fight Club,1999,Zach Grenier
Fight Club,1999,Richmond Arquette
Fight Club,1999,David Andrews
Fight Club,1999,George Maguire
Fight Club,1999,Eugenie Bondurant
Fight Club,1999,Christina Cabot
Fight Club,1999,Sydney 'Big Dawg' Colston
Fight Club,1999,Rachel Singer
Fight Club,1999,Christie Cronenweth
Fight Club,1999,Tim De Zarn
Fight Club,1999,Ezra Buzzington
Fight Club,1999,Dierdre Downing-Jackson
Fight Club,1999,Bob Stephenson
Fight Club,1999,Charlie Dell
Fight Club,1999,Rob Lanza
Fight Club,1999,David Lee Smith
Fight Club,1999,Holt McCallany
Fight Club,1999,Joel Bissonnette
Fight Club,1999,Eion Bailey
Fight Club,1999,Evan Mirand
Fight Club,1999,Robby Robinson
Fight Club,1999,Lou Beatty Jr.
Fight Club,1999,Thom Gossom Jr.
Fight Club,1999,Valerie Bickford
Fight Club,1999,Jared Leto
Fight Club,1999,Peter Iacangelo
Fight Club,1999,Carl Ciarfalio
Fight Club,1999,Stuart Blumberg
Fight Club,1999,Todd Peirce
Fight Club,1999,Mark Fite
Fight Club,1999,Matt Winston
Fight Club,1999,Joon Kim
Fight Club,1999,Bennie Moore
Fight Club,1999,Lauren Sanchez
Fight Club,1999,Pat McNamara
Fight Club,1999,Tyrone R. Livingston
Fight Club,1999,Owen Masterson
Fight Club,1999,David Jean Thomas
Fight Club,1999,Paul Carafotes
Fight Club,1999,Christopher John Fields
Fight Club,1999,Anderson Bourell
Fight Club,1999,Scotch Ellis Loring
Fight Club,1999,Michael Shamus Wiles
Fight Club,1999,Andi Carnick
Fight Club,1999,Edward Kowalczyk
Fight Club,1999,Leonard Termo
Fight Club,1999,Van Quattro
Fight Club,1999,Markus Redmond
Fight Club,1999,Michael Girardin
American History X,1998,Edward Norton
American History X,1998,Edward Furlong
American History X,1998,Beverly D'Angelo
American History X,1998,Jennifer Lien
American History X,1998,Ethan Suplee
American History X,1998,Fairuza Balk
American History X,1998,Avery Brooks
American History X,1998,Elliott Gould
American History X,1998,Stacy Keach
American History X,1998,William Russ
American History X,1998,Guy Torry
American History X,1998,Joe Cortese
American History X,1998,Jason Bose Smith
American History X,1998,Antonio David Lyons
American History X,1998,Alex Sol
American History X,1998,Keram Malicki-Sánchez
American History X,1998,Giuseppe Andrews
American History X,1998,Michelle Christine White
American History X,1998,Jonathan Fowler Jr.
American History X,1998,Christopher Masterson
American History X,1998,Nicholas R. Oleson
American History X,1998,Jordan Marder
American History X,1998,Paul Le Mat
American History X,1998,Thomas L. Bellissimo
American History X,1998,Cherish Lee
American History X,1998,Sam Vlahos
American History X,1998,Tara Blanchard
American History X,1998,Anne Lambton
American History X,1998,Steve Wolford
American History X,1998,Richard Noyce
American History X,1998,Danso Gordon
American History X,1998,Jim Norton
American History X,1998,David Basulto
American History X,1998,Alexis Rose Coen
American History X,1998,Kiante Elam
American History X,1998,Paul Hopkins
American History X,1998,Keith Odett
American History X,1998,Paul E. Short
American History X,1998,Nigel Miguel
